Voltage_measured,Current_measured,Temperature_measured,Voltage_charge,Time,Cycle_Number,Normalized_Voltage
4.191491808,-0.004901589,24.33003389,0,0,1,0.99
4.190749068,-0.001478006,24.32599342,4.206,16.781,1,0.99
3.974870912,-2.012528324,24.38908513,3.062,35.703,1,0.86
3.951716708,-2.013979362,24.54475232,3.03,53.781,1,0.85
3.934352489,-2.011143596,24.7313852,3.011,71.922,1,0.84
3.920058442,-2.013006628,24.9098164,2.991,90.094,1,0.83
3.90790351,-2.014399657,25.10588415,2.977,108.281,1,0.83
3.897035722,-2.011602885,25.31701856,2.967,126.453,1,0.82
3.887476581,-2.018014688,25.5094231,2.959,144.641,1,0.81
3.878958592,-2.013134754,25.70360345,2.951,162.844,1,0.81
3.871015985,-2.013162202,25.88720819,2.943,181.016,1,0.8
3.863479677,-2.013030234,26.07781486,2.935,199.219,1,0.8
3.856660507,-2.013710499,26.25431462,2.93,217.391,1,0.79
3.850013579,-2.014150137,26.43671069,2.925,235.594,1,0.79
3.843841905,-2.013463983,26.61127891,2.925,253.75,1,0.79
3.837687976,-2.012645836,26.78134765,2.919,271.984,1,0.78
3.831938253,-2.013409301,26.95745885,2.913,290.141,1,0.78
3.826414443,-2.0131455,27.12980014,2.907,308.359,1,0.78
3.821095734,-2.012041289,27.30582408,2.902,326.5,1,0.77
3.815896665,-2.014463253,27.46481668,2.897,344.75,1,0.77
3.810696822,-2.01314003,27.61796452,2.892,362.906,1,0.77
3.805837381,-2.009226436,27.77547783,2.887,381.047,1,0.77
3.801121633,-2.01466618,27.93132998,2.882,399.187,1,0.76
3.796293131,-2.013218329,28.07896948,2.877,417.281,1,0.76
3.791448906,-2.01151422,28.2335031,2.872,435.484,1,0.76
3.786624687,-2.01220228,28.37877941,2.867,453.672,1,0.76
3.782062923,-2.013853345,28.5225242,2.863,471.812,1,0.76
3.777175402,-2.01213146,28.66589833,2.858,490.203,1,0.75
3.772406294,-2.010701731,28.81671829,2.853,508.344,1,0.75
3.767937459,-2.012086038,28.93274894,2.849,526.625,1,0.75
3.763229304,-2.012293919,29.0704461,2.845,544.922,1,0.75
3.758511492,-2.013465978,29.18458627,2.84,563.125,1,0.75
3.75421321,-2.013587961,29.29244411,2.835,581.406,1,0.74
3.749629203,-2.012847057,29.40274581,2.831,599.656,1,0.74
3.74516886,-2.012426283,29.4989651,2.827,617.875,1,0.74
3.741005009,-2.012455651,29.59370293,2.823,636.047,1,0.74
3.736699829,-2.0133848,29.68142827,2.819,654.422,1,0.73
3.732482705,-2.012628857,29.76670142,2.815,672.594,1,0.73
3.728352554,-2.015505362,29.83908101,2.81,690.812,1,0.73
3.724533235,-2.011329658,29.91087573,2.807,708.937,1,0.73
3.720651026,-2.010879042,29.98224432,2.803,727.266,1,0.72
3.716409008,-2.01299613,30.03264278,2.799,745.578,1,0.72
3.712791838,-2.010757949,30.09435785,2.795,763.797,1,0.72
3.708427614,-2.013701269,30.1385033,2.791,782.109,1,0.72
3.704791772,-2.011144436,30.18676402,2.787,800.484,1,0.72
3.700682578,-2.012174076,30.23782919,2.783,818.797,1,0.71
3.696757715,-2.012315925,30.28051474,2.779,837.016,1,0.71
3.693039332,-2.012012376,30.33483731,2.775,855.25,1,0.71
3.689176797,-2.012080375,30.3862846,2.772,873.578,1,0.71
3.685214482,-2.010711081,30.42258867,2.768,891.812,1,0.7
3.681493741,-2.01334412,30.47429007,2.765,910.141,1,0.7
3.677792214,-2.01103074,30.52163904,2.761,928.391,1,0.7
3.674061813,-2.012683694,30.56564256,2.757,946.719,1,0.7
3.670301765,-2.011441242,30.61434254,2.753,965.047,1,0.69
3.666733912,-2.012790477,30.65539856,2.749,983.391,1,0.69
3.66299805,-2.011569192,30.70351241,2.746,1001.766,1,0.69
3.659664387,-2.012663191,30.75861687,2.743,1020.172,1,0.69
3.655894136,-2.013905388,30.80590866,2.739,1038.594,1,0.69
3.652326513,-2.010715776,30.8597146,2.735,1056.922,1,0.68
3.648763482,-2.012021546,30.91010409,2.732,1075.203,1,0.68
3.645546859,-2.009214327,30.9551582,2.729,1093.687,1,0.68
3.642076255,-2.01370985,31.00631131,2.725,1112,1,0.68
3.638464063,-2.012817106,31.06151883,2.722,1130.328,1,0.68
3.635076069,-2.014062657,31.12140149,2.719,1148.75,1,0.67
3.631664824,-2.011073765,31.16242581,2.715,1167.125,1,0.67
3.628578536,-2.010892908,31.22480654,2.712,1185.641,1,0.67
3.625012599,-2.012403945,31.27691155,2.709,1203.984,1,0.67
3.621582227,-2.013235908,31.32902135,2.705,1222.406,1,0.67
3.618461252,-2.014193847,31.37758384,2.702,1240.797,1,0.66
3.615067252,-2.012636675,31.43932935,2.699,1259.156,1,0.66
3.611881809,-2.01221032,31.49875419,2.696,1277.547,1,0.66
3.608578677,-2.011552238,31.55468555,2.693,1295.906,1,0.66
3.605534941,-2.014064206,31.60394262,2.689,1314.297,1,0.66
3.602185899,-2.011899392,31.65811516,2.686,1332.687,1,0.66
3.598857145,-2.015418659,31.70091769,2.683,1351.203,1,0.65
3.595767094,-2.01274965,31.75856328,2.679,1369.687,1,0.65
3.593016664,-2.013851295,31.81138303,2.677,1388.125,1,0.65
3.589710094,-2.013554083,31.8692435,2.673,1406.578,1,0.65
3.586652203,-2.01630991,31.91584617,2.671,1425.062,1,0.65
3.583442038,-2.012770996,31.96441739,2.667,1443.609,1,0.64
3.580485344,-2.012822716,32.01315882,2.664,1462.047,1,0.64
3.577250478,-2.012519953,32.06671887,2.661,1480.547,1,0.64
3.574368834,-2.011585028,32.11931241,2.658,1499.031,1,0.64
3.571285128,-2.016228513,32.16182646,2.655,1517.672,1,0.64
3.568720666,-2.012227514,32.21984558,2.652,1536.109,1,0.64
3.565554673,-2.01382426,32.26525995,2.649,1554.781,1,0.63
3.562595409,-2.013887805,32.31437205,2.646,1573.281,1,0.63
3.55978447,-2.010843085,32.37083988,2.643,1591.859,1,0.63
3.556893754,-2.010678198,32.41202453,2.64,1610.406,1,0.63
3.553973588,-2.01347743,32.44708743,2.638,1628.953,1,0.63
3.551197827,-2.013286567,32.50304552,2.635,1647.562,1,0.63
3.5485156,-2.011740383,32.55306505,2.632,1666.062,1,0.62
3.545805831,-2.013022207,32.59899896,2.629,1684.656,1,0.62
3.543110722,-2.013411432,32.64351729,2.626,1703.219,1,0.62
3.540293558,-2.01369896,32.6903002,2.624,1721.891,1,0.62
3.537401006,-2.013064142,32.73007446,2.621,1740.437,1,0.62
3.535187043,-2.011051415,32.77991866,2.618,1759.016,1,0.62
3.532508941,-2.012815244,32.8218147,2.616,1777.641,1,0.62
3.529903338,-2.014840137,32.86578627,2.613,1796.328,1,0.61
3.527547535,-2.012968675,32.90915819,2.61,1815.047,1,0.61
3.525015506,-2.013755437,32.95555573,2.608,1833.75,1,0.61
3.522603357,-2.011997708,32.98375622,2.606,1852.391,1,0.61
3.520112779,-2.011265055,33.02815748,2.603,1871.078,1,0.61
3.517968946,-2.010186981,33.06736385,2.6,1889.844,1,0.61
3.515386248,-2.012520466,33.11495219,2.598,1908.578,1,0.6
3.51328369,-2.013595479,33.16027948,2.596,1927.281,1,0.6
3.511139862,-2.013069557,33.20376348,2.594,1946.031,1,0.6
3.508804841,-2.012128559,33.23715597,2.591,1964.891,1,0.6
3.506891148,-2.011650833,33.28336572,2.589,1983.703,1,0.6
3.504711595,-2.010926156,33.31893014,2.587,2002.484,1,0.6
3.502786369,-2.015082746,33.35414354,2.585,2021.187,1,0.6
3.500641192,-2.012509017,33.39763348,2.583,2039.906,1,0.6
3.498840325,-2.015339954,33.44167147,2.581,2058.641,1,0.59
3.496510092,-2.011784604,33.48501454,2.579,2077.406,1,0.59
3.494762084,-2.014140605,33.5312827,2.577,2096.312,1,0.59
3.492649042,-2.011955439,33.56731617,2.575,2115.047,1,0.59
3.490903811,-2.011700816,33.60771948,2.573,2133.969,1,0.59
3.488848633,-2.01229054,33.66266785,2.571,2152.812,1,0.59
3.48686929,-2.01129035,33.70836355,2.569,2171.625,1,0.59
3.484995872,-2.011624701,33.77033765,2.567,2190.547,1,0.58
3.483173812,-2.013615575,33.81562187,2.565,2209.422,1,0.58
3.480996353,-2.01193091,33.85394213,2.563,2228.297,1,0.58
3.479328829,-2.015181645,33.90438753,2.561,2247.219,1,0.58
3.477212881,-2.014043673,33.953097,2.559,2265.969,1,0.58
3.475310541,-2.013217761,34.00238376,2.557,2284.937,1,0.58
3.47344329,-2.011669639,34.0477983,2.555,2303.859,1,0.58
3.471187902,-2.012893342,34.09934357,2.553,2322.797,1,0.58
3.46915804,-2.011944383,34.14088477,2.551,2341.766,1,0.58
3.467157994,-2.012427485,34.19289487,2.549,2360.594,1,0.57
3.465097993,-2.01029963,34.24423216,2.547,2379.578,1,0.57
3.463197485,-2.012658501,34.30023374,2.545,2398.672,1,0.57
3.460765705,-2.013968219,34.3476222,2.542,2417.797,1,0.57
3.458529543,-2.014453535,34.4037155,2.54,2436.906,1,0.57
3.456375946,-2.01075964,34.45520075,2.538,2455.969,1,0.57
3.453821054,-2.012177998,34.53096955,2.536,2474.984,1,0.57
3.451590712,-2.008709347,34.57901218,2.534,2494.031,1,0.57
3.449343415,-2.016679129,34.64193341,2.531,2513.187,1,0.56
3.446911775,-2.013858671,34.71979044,2.528,2532.391,1,0.56
3.44433708,-2.011575813,34.77469078,2.526,2551.547,1,0.56
3.441861048,-2.011119044,34.83680518,2.524,2570.578,1,0.56
3.438940266,-2.013523872,34.9077224,2.521,2589.703,1,0.56
3.436361035,-2.011292222,34.96834033,2.518,2608.797,1,0.56
3.433670809,-2.013890141,35.03904431,2.516,2627.953,1,0.56
3.43089658,-2.01266874,35.09556779,2.513,2647.234,1,0.56
3.427820898,-2.012841438,35.17021564,2.51,2666.516,1,0.56
3.424844059,-2.011096829,35.24659147,2.507,2685.812,1,0.56
3.421757269,-2.011769901,35.32264085,2.504,2704.969,1,0.55
3.418746324,-2.010560854,35.39646262,2.501,2724.203,1,0.55
3.415457809,-2.012447888,35.45856315,2.498,2743.453,1,0.55
3.411776009,-2.009914541,35.54801733,2.494,2762.625,1,0.55
3.408293969,-2.015248195,35.60928065,2.491,2781.922,1,0.55
3.404357794,-2.015095347,35.68496008,2.487,2801.25,1,0.55
3.400236241,-2.012875925,35.75662514,2.483,2820.625,1,0.55
3.396130718,-2.009719858,35.82367474,2.479,2839.937,1,0.55
3.391813378,-2.01252561,35.9094486,2.475,2859.234,1,0.55
3.387048292,-2.012471772,35.99556666,2.47,2878.578,1,0.54
3.38203092,-2.012391445,36.06802701,2.466,2897.937,1,0.54
3.376548094,-2.01177114,36.15179924,2.46,2917.281,1,0.54
3.370451681,-2.013057211,36.22620797,2.454,2936.687,1,0.54
3.363787029,-2.013129774,36.31758398,2.448,2956.078,1,0.54
3.356852194,-2.010504507,36.40175269,2.442,2975.453,1,0.54
3.348677495,-2.013446755,36.48121162,2.434,2994.969,1,0.54
3.339590897,-2.011998211,36.57401014,2.426,3014.453,1,0.54
3.329635127,-2.014076448,36.67762686,2.416,3033.891,1,0.54
3.318207906,-2.010068542,36.76747018,2.405,3053.375,1,0.54
3.304941443,-2.013866945,36.86185499,2.394,3072.859,1,0.53
3.290377366,-2.011012733,36.97598237,2.38,3092.328,1,0.53
3.273715694,-2.012311378,37.06921618,2.364,3111.828,1,0.53
3.254516461,-2.011090198,37.1810726,2.346,3131.234,1,0.53
3.233102643,-2.011235067,37.3095796,2.327,3150.672,1,0.53
3.20827869,-2.011717027,37.42044438,2.303,3170.187,1,0.53
3.179961765,-2.011061453,37.56172724,2.277,3189.734,1,0.53
3.147222993,-2.011689985,37.69338181,2.247,3209.297,1,0.53
3.109330581,-2.013396072,37.84042744,2.213,3229.016,1,0.53
3.065381579,-2.014808176,37.98252486,2.173,3248.625,1,0.52
3.013061224,-2.011094696,38.13325491,2.125,3268.328,1,0.52
2.949205491,-2.01421697,38.30303121,2.068,3287.969,1,0.52
2.866018014,-2.010609149,38.47644572,1.998,3307.625,1,0.52
2.757251913,-2.014111594,38.66860354,1.906,3327.234,1,0.52
2.612467348,-2.012639099,38.90411224,1.782,3346.937,1,0.52
2.998125197,-0.004200625,38.98218133,0,3366.781,1,0.52
